type,year,authors,title,journal,volume,issue,pages,doi,contribution_note,status
peer_reviewed,2021,"Wang C.-H., Tsai Y.-C., Tsai I., and Ariyawansa H. A.","Stemphylium Leaf Blight of Welsh Onion (Allium fistulosum): An Emerging Disease in Sanxing, Taiwan","Plant Disease",105,,,"10.1094/PDIS-11-20-2329-RE","First author; molecular characterization and epidemiology","published"
under_review,2026,"Wang C.-H., Da Silva S., Hochmuth G., and Paret M. L.","Efficacy of Fungicides Applied via Solid-set Overhead Sprinklers vs. Tractor-Mounted Sprayers for Carrot Alternaria Leaf Blight","Crop Protection",,,,"","Lead author; first-of-its-kind chemigation vs. tractor application field trial","under_review"
under_review,2025,"Ketehouli T., Okpala E. N., Wang C.-H., and An T.","Harnessing Plant Ferritins for Iron Homeostasis and Crop Resilience: An Overview","Plant Stress",,,,"","Co-author","under_review"
in_prep,2026,"Wang C.-H., Nakazawa P., Da Silva S., Maltais Landry G., Treadwell D., and Paret M. L.","Assessing the Impact of Regenerative Agriculture Practices on Disease Pressure in an Organic Crop Rotation System in Florida","Organic Agriculture",,,,"","Lead author; multi-year USDA-NIFA field study","in_preparation"
in_prep,2026,"Wang C.-H., Da Silva S., Dufault N., Rollins J., and Paret M. L.","Characterization and Management of Seed-borne Alternaria spp. on Carrots in North Florida: A Four-Year Survey and Evaluation of a Novel Nanomaterial Seed Treatment","Plant Disease",,,,"","Lead author; four-year seed survey with novel FQ-Cu nanoparticle evaluation","in_preparation"
extension,2026,"Wang C.-H., Newark M., Da Silva S., and Paret M. L.","Management of Alternaria Leaf Blight of Carrots for Florida Conventional and Organic Producers","UF/IFAS EDIS",,,,,"Lead author; primary disease management protocol for Florida carrot producers","published"
extension,2023,"Tsai Y.-C., Lin L., Chiou J.-J., Wang C.-H., et al.","Research and promotion of integrated pest management (IPM) of Welsh Onion (Allium fistulosum) in Sanxing, Yilan","Special Publication of Taichung District Agricultural Research and Extension Station",150,,"79-88","","Co-author; regional IPM policy guide","published"
extension,2021,"Tsai Y.-C., Lin L., Wang C.-H., et al.","Pest and Disease Management for Off-Site Conservation","Hualien District Agricultural Special Bulletin",118,,"2-5","","Co-author","published"
extension,2021,"Liu T.-C., Tsai Y.-C., Shih C.-W., and Wang C.-H.","Occurrence of Watermelon Viral Diseases in Hualien and Recommended Control Strategies","Hualien District Agricultural Special Bulletin",117,,"10-13","","Co-author; identified regional viral outbreaks and management protocols","published"
extension,2021,"Tsai Y.-C., Hsieh W.-D., Wang C.-H., and Ariyawansa H. A.","Implementing IPM for Welsh Onion: Improving Yields and Reducing Pesticide Use","Hualien District Agricultural Special Bulletin",115,,"7-9","","Co-author; pesticide reduction strategy","published"
